mes_ano,John John Masc,Total
2025-01,4988547.0,4988547.0
2025-02,3721122.2,3721122.2
2025-03,2959268.8,2959268.8
2025-04,3315686.2,3315686.2
2025-05,3347595.8,3347595.8
2025-06,3575624.8,3575624.8
2025-07,3721429.0,3721429.0
2025-08,4174321.2,4174321.2
2025-09,3518294.5,3518294.5
2025-10,3526460.2,3526460.2
2025-11,4750619.0,4750619.0
2025-12,8134616.5,8134616.5
