mes_ano,Jeans e Sarja,Total
2025-01,2105809.5,2105809.5
2025-02,1449115.6,1449115.6
2025-03,1287876.8,1287876.8
2025-04,1324597.1,1324597.1
2025-05,1458045.0,1458045.0
2025-06,1762399.4,1762399.4
2025-07,1623867.1,1623867.1
2025-08,1364319.8,1364319.8
2025-09,1082671.5,1082671.5
2025-10,1027329.56,1027329.56
2025-11,1155896.5,1155896.5
2025-12,1553861.0,1553861.0
