unique_id,ds,LSTM_steps1_lr0.001_batch32_encoder200_decoder200_enc_layers2_dec_layers2_context10_biasTrue_dropout0.0
LL,2025-07-16,1131669.8
LL,2025-07-17,1236350.0
LL,2025-07-18,1265330.6
LL,2025-07-19,1130955.9
LL,2025-07-20,1154983.1
LL,2025-07-21,1122700.9
LL,2025-07-22,1135774.2
LL,2025-07-23,1095006.1
LL,2025-07-24,1102008.5
LL,2025-07-25,1171913.4
LL,2025-07-26,1175583.4
LL,2025-07-27,1127654.0
LL,2025-07-28,1096427.6
LL,2025-07-29,1089025.4
LL,2025-07-30,1090858.0
LL,2025-07-31,1149799.0
LL,2025-08-01,1192439.4
LL,2025-08-02,1133634.5
LL,2025-08-03,1176782.5
LL,2025-08-04,1040384.7
LL,2025-08-05,1111065.6
LL,2025-08-06,1127512.0
LL,2025-08-07,1169566.0
LL,2025-08-08,1166831.2
LL,2025-08-09,1103129.2
LL,2025-08-10,1199731.1
LL,2025-08-11,1111039.5
LL,2025-08-12,1085925.2
LL,2025-08-13,1129870.9
LL,2025-08-14,1132998.0
LL,2025-08-15,1176559.1
LL,2025-08-16,1199808.1
LL,2025-08-17,1154247.8
LL,2025-08-18,1119499.1
LL,2025-08-19,1144488.2
LL,2025-08-20,1098457.8
LL,2025-08-21,1210488.6
LL,2025-08-22,1161896.1
LL,2025-08-23,1212425.8
LL,2025-08-24,1159180.2
LL,2025-08-25,1064242.8
LL,2025-08-26,1121435.8
LL,2025-08-27,1252757.4
LL,2025-08-28,1228046.5
LL,2025-08-29,1254298.5
LL,2025-08-30,1209527.0
LL,2025-08-31,1066544.8
LL,2025-09-01,1081917.0
LL,2025-09-02,1122136.9
LL,2025-09-03,1162471.9
LL,2025-09-04,1178886.4
LL,2025-09-05,1264538.5
LL,2025-09-06,1160131.0
LL,2025-09-07,1540185.6
LL,2025-09-08,1090274.0
LL,2025-09-09,1091596.6
LL,2025-09-10,1098681.2
LL,2025-09-11,1158187.1
LL,2025-09-12,1244997.2
LL,2025-09-13,1206898.2
LL,2025-09-14,1183303.6
LL,2025-09-15,1128917.6
LL,2025-09-16,1192848.2
LL,2025-09-17,1143866.6
LL,2025-09-18,1307888.0
LL,2025-09-19,1311145.9
LL,2025-09-20,1209327.5
LL,2025-09-21,1246347.8
LL,2025-09-22,1238044.5
LL,2025-09-23,1243137.1
LL,2025-09-24,1382507.0
LL,2025-09-25,1370427.2
LL,2025-09-26,1309275.0
LL,2025-09-27,1199802.9
LL,2025-09-28,1254029.9
LL,2025-09-29,1133036.6
LL,2025-09-30,1149315.9
LL,2025-10-01,1185091.9
LL,2025-10-02,1229662.1
LL,2025-10-03,1179754.8
LL,2025-10-04,1162427.2
LL,2025-10-05,1159403.6
LL,2025-10-06,1099444.4
LL,2025-10-07,1115227.2
LL,2025-10-08,1174669.4
LL,2025-10-09,1156741.5
LL,2025-10-10,1192084.4
LL,2025-10-11,1174766.0
LL,2025-10-12,1124354.4
LL,2025-10-13,1113058.9
LL,2025-10-14,1108680.1
LL,2025-10-15,1106522.9
LL,2025-10-16,1230472.6
LL,2025-10-17,1193010.0
LL,2025-10-18,1174058.2
LL,2025-10-19,1078397.9
LL,2025-10-20,1140120.9
LL,2025-10-21,1122430.5
LL,2025-10-22,1195438.9
LL,2025-10-23,1188732.6
LL,2025-10-24,1151313.9
LL,2025-10-25,1187615.9
LL,2025-10-26,1146201.1
LL,2025-10-27,1116030.8
LL,2025-10-28,1132011.8
LL,2025-10-29,1146317.1
LL,2025-10-30,1196509.4
LL,2025-10-31,1202553.6
LL,2025-11-01,1166970.8
LL,2025-11-02,1202252.1
LL,2025-11-03,1095187.5
LL,2025-11-04,1144017.2
LL,2025-11-05,1155445.4
LL,2025-11-06,1256441.6
LL,2025-11-07,1290384.6
LL,2025-11-08,1295638.1
LL,2025-11-09,1161622.5
LL,2025-11-10,1177638.2
LL,2025-11-11,1235901.8
LL,2025-11-12,1245368.8
LL,2025-11-13,1410834.6
LL,2025-11-14,1368831.8
LL,2025-11-15,932711.6
LL,2025-11-16,1375633.4
LL,2025-11-17,1326976.2
LL,2025-11-18,1204235.0
LL,2025-11-19,1387022.5
LL,2025-11-20,1287917.2
LL,2025-11-21,1320874.6
LL,2025-11-22,1309824.1
LL,2025-11-23,1314503.4
LL,2025-11-24,1225686.1
LL,2025-11-25,1270964.1
LL,2025-11-26,1339614.0
LL,2025-11-27,1334729.6
LL,2025-11-28,1391852.2
LL,2025-11-29,1273161.8
LL,2025-11-30,1266952.4
LL,2025-12-01,1239154.6
LL,2025-12-02,1312472.8
LL,2025-12-03,1356013.4
LL,2025-12-04,1354683.4
LL,2025-12-05,1339099.0
LL,2025-12-06,1341973.0
LL,2025-12-07,1244759.2
LL,2025-12-08,1292353.4
LL,2025-12-09,1257629.5
LL,2025-12-10,1326904.6
LL,2025-12-11,1313138.8
LL,2025-12-12,1460938.0
LL,2025-12-13,1308207.1
LL,2025-12-14,1383386.1
LL,2025-12-15,1326854.9
LL,2025-12-16,1321669.8
LL,2025-12-17,1267985.8
LL,2025-12-18,1447609.0
LL,2025-12-19,1489028.6
LL,2025-12-20,1387655.5
LL,2025-12-21,1317912.5
LL,2025-12-22,1400385.4
LL,2025-12-23,1421124.1
LL,2025-12-24,1336917.8
LL,2025-12-25,1435571.1
LL,2025-12-26,1293445.6
LL,2025-12-27,1193900.6
LL,2025-12-28,1275458.5
LL,2025-12-29,1212108.5
LL,2025-12-30,1155017.6
LL,2025-12-31,1154547.2
