mes_ano,John John Masc,Total
2025-01,4233373.0,4233373.0
2025-02,3593460.2,3593460.2
2025-03,3124688.8,3124688.8
2025-04,3200065.5,3200065.5
2025-05,3811177.8,3811177.8
2025-06,6158968.0,6158968.0
2025-07,5116100.5,5116100.5
2025-08,3410485.0,3410485.0
2025-09,3308253.2,3308253.2
2025-10,3456525.2,3456525.2
2025-11,4926726.5,4926726.5
2025-12,9227028.0,9227028.0
