max_steps,learning_rate,batch_size,activation,MAE,RMSE,MAPE
1000,0.001,32,ReLU,573955.8814766484,783592.2815203242,274.4037044677109
2000,0.001,32,ReLU,544033.4154601648,750191.9001502523,396.7720524445566
