mes_ano,Bobô,Total
2025-02,455706.62,455706.62
2025-03,831620.94,831620.94
2025-04,866005.5,866005.5
2025-05,1226704.0,1226704.0
2025-06,956746.3,956746.3
2025-07,669177.75,669177.75
2025-08,883266.4,883266.4
2025-09,531016.2,531016.2
2025-10,792508.94,792508.94
2025-11,1116043.8,1116043.8
2025-12,1309184.0,1309184.0
2026-01,396080.03,396080.03
