max_steps,learning_rate,batch_size,encoder_hidden_size,decoder_hidden_size,encoder_n_layers,decoder_layers,context_size,encoder_bias,encoder_dropout,num_lr_decays,early_stop_patience_steps,val_check_steps,random_seed,num_workers_loader,drop_last_loader,MAE,RMSE,MAPE
1000,0.001,32,200,200,2,2,10,True,0.0,-1,-1,100,1,0,False,474382.35059065936,642063.7566176987,77.23926469223527
2000,0.001,32,200,200,2,2,10,True,0.0,-1,-1,100,1,0,False,471635.6407898352,636853.1984858419,71.47985038028692
