mes_ano,Dudalina Masc,Total
2025-01,8196936.5,8196936.5
2025-02,4189925.0,4189925.0
2025-03,4886749.0,4886749.0
2025-04,5385180.0,5385180.0
2025-05,4793813.0,4793813.0
2025-06,11715809.0,11715809.0
2025-07,6910617.5,6910617.5
2025-08,7343697.0,7343697.0
2025-09,5635233.5,5635233.5
2025-10,5526840.0,5526840.0
2025-11,9688107.0,9688107.0
2025-12,11506823.0,11506823.0
