ds,GRU_steps2000_lr0.001_batch32_encoder200_decoder200_enc_layers2_dec_layers2_context10_activationtanh_biasTrue_dropout0.0_lr_decays-1_early_stop-1_val_check100_scalerrobust_seed1
2024-10-01,1341296.2
2024-10-02,1401881.5
2024-10-03,1352997.2
2024-10-04,1630760.2
2024-10-05,1650066.0
2024-10-06,490590.75
2024-10-07,1339718.5
2024-10-08,1306906.8
2024-10-09,1218064.4
2024-10-10,1421740.1
2024-10-11,1245205.9
2024-10-12,1418995.6
2024-10-13,580133.44
2024-10-14,1043896.4
2024-10-15,1322400.1
2024-10-16,1856153.4
2024-10-17,1490115.9
2024-10-18,1838670.9
2024-10-19,1917837.5
2024-10-20,1170757.8
2024-10-21,1042263.94
2024-10-22,1243337.5
2024-10-23,1289560.2
2024-10-24,1460584.0
2024-10-25,1526938.0
2024-10-26,1026908.0
2024-10-27,606026.6
2024-10-28,1152219.6
2024-10-29,981070.44
2024-10-30,1257817.8
2024-10-31,1396554.1
2024-11-01,1603600.1
2024-11-02,1306672.1
2024-11-03,1232723.6
2024-11-04,995281.25
2024-11-05,899251.1
2024-11-06,2439584.5
2024-11-07,2469962.8
2024-11-08,1456509.5
2024-11-09,2355291.0
2024-11-10,850289.2
2024-11-11,1652713.6
2024-11-12,1387057.9
2024-11-13,1391438.0
2024-11-14,1503826.0
2024-11-15,1054957.8
2024-11-16,1136051.8
2024-11-17,863582.25
2024-11-18,1622737.2
2024-11-19,1213989.8
2024-11-20,1264442.2
2024-11-21,1123617.2
2024-11-22,1951048.8
2024-11-23,1827103.9
2024-11-24,1977100.5
2024-11-25,1566813.1
2024-11-26,1843427.0
2024-11-27,1693464.0
2024-11-28,1780608.8
2024-11-29,2249436.8
2024-11-30,2623774.5
2024-12-01,1234735.2
2024-12-02,1010267.1
2024-12-03,1266881.2
2024-12-04,1248029.8
2024-12-05,1291216.2
2024-12-06,1145782.0
2024-12-07,1820001.2
2024-12-08,1217465.0
2024-12-09,1528463.2
2024-12-10,1260061.4
2024-12-11,1466770.9
2024-12-12,1600288.0
2024-12-13,2136186.8
2024-12-14,2263684.2
2024-12-15,1341286.0
2024-12-16,2225648.0
2024-12-17,2165695.0
2024-12-18,2162976.0
2024-12-19,1749377.0
2024-12-20,2404837.5
2024-12-21,2354104.8
2024-12-22,2363519.0
2024-12-23,2568916.8
2024-12-24,1708413.5
2024-12-25,2364987.8
2024-12-26,1488103.5
2024-12-27,1679483.1
2024-12-28,1338867.1
2024-12-29,946418.0
2024-12-30,1211389.1
2024-12-31,-358809.0
2025-01-01,-67168.875
2025-01-02,1081865.9
2025-01-03,3945437.0
2025-01-04,1363070.0
2025-01-05,1061991.9
2025-01-06,3730294.0
2025-01-07,2146837.0
2025-01-08,2819252.0
2025-01-09,2021264.9
2025-01-10,4027373.0
2025-01-11,1925802.2
2025-01-12,1804724.1
2025-01-13,2161850.5
2025-01-14,2395482.8
2025-01-15,2857535.2
2025-01-16,1637437.2
2025-01-17,1577775.6
2025-01-18,1450905.9
2025-01-19,1335008.9
2025-01-20,1433003.6
2025-01-21,1235036.2
2025-01-22,1371484.6
2025-01-23,1284509.0
2025-01-24,2093845.8
2025-01-25,1838288.0
2025-01-26,487348.5
2025-01-27,1165807.5
2025-01-28,1730886.0
2025-01-29,1543973.1
2025-01-30,2145390.2
2025-01-31,2121136.5
2025-02-01,1762418.6
2025-02-02,703358.4
2025-02-03,1127783.4
2025-02-04,1933722.9
2025-02-05,2143373.5
2025-02-06,1582175.0
2025-02-07,2209864.5
2025-02-08,1934068.5
2025-02-09,963859.5
2025-02-10,1083215.4
2025-02-11,1393806.1
2025-02-12,1262492.2
2025-02-13,1300582.6
2025-02-14,1426462.1
2025-02-15,1463567.2
2025-02-16,863605.75
2025-02-17,1212422.0
2025-02-18,1114291.5
2025-02-19,914601.4
2025-02-20,1217183.8
2025-02-21,1160071.5
2025-02-22,1579164.0
2025-02-23,593992.6
2025-02-24,692162.3
2025-02-25,1646080.1
2025-02-26,895302.1
2025-02-27,1138644.6
2025-02-28,2017905.8
2025-03-01,780519.75
2025-03-02,353787.88
2025-03-03,487438.06
2025-03-04,359870.5
2025-03-05,552303.9
2025-03-06,610782.0
2025-03-07,1088763.9
2025-03-08,2020992.8
2025-03-09,491663.06
2025-03-10,1266285.5
