mes_ano,Acessorio,Total
2025-01,2395471.2,2395471.2
2025-02,1324331.6,1324331.6
2025-03,1366968.9,1366968.9
2025-04,2169672.5,2169672.5
2025-05,2042218.0,2042218.0
2025-06,2041626.8,2041626.8
2025-07,2883701.2,2883701.2
2025-08,2073604.8,2073604.8
2025-09,1962637.2,1962637.2
2025-10,2058236.8,2058236.8
2025-11,3306323.0,3306323.0
2025-12,4279453.5,4279453.5
