mes_ano,Seda,Total
2025-01,6510320.5,6510320.5
2025-02,3369228.2,3369228.2
2025-03,2924786.8,2924786.8
2025-04,2757055.2,2757055.2
2025-05,4465066.0,4465066.0
2025-06,5093087.0,5093087.0
2025-07,4327381.0,4327381.0
2025-08,2669660.0,2669660.0
2025-09,1827018.4,1827018.4
2025-10,1575330.8,1575330.8
2025-11,2251004.2,2251004.2
2025-12,4407373.5,4407373.5
