mes_ano,Jeans e Sarja,Total
2025-01,2914427.0,2914427.0
2025-02,1876929.8,1876929.8
2025-03,1646454.8,1646454.8
2025-04,1598320.4,1598320.4
2025-05,1862248.8,1862248.8
2025-06,2884766.8,2884766.8
2025-07,2783654.0,2783654.0
2025-08,1885657.8,1885657.8
2025-09,1667858.4,1667858.4
2025-10,1881040.2,1881040.2
2025-11,2343565.5,2343565.5
2025-12,3973147.2,3973147.2
