mes_ano,Moda,Total
2025-01,2846031.2,2846031.2
2025-02,3724577.5,3724577.5
2025-03,2990082.0,2990082.0
2025-04,3573274.0,3573274.0
2025-05,5293958.0,5293958.0
2025-06,6138780.0,6138780.0
2025-07,5004145.0,5004145.0
2025-08,3586049.8,3586049.8
2025-09,3477466.0,3477466.0
2025-10,3428908.5,3428908.5
2025-11,4609170.0,4609170.0
2025-12,6485453.0,6485453.0
