mes_ano,Le Lis Casa,Total
2025-01,3522626.5,3522626.5
2025-02,1673155.9,1673155.9
2025-03,1441228.6,1441228.6
2025-04,1000699.75,1000699.75
2025-05,2597621.0,2597621.0
2025-06,2450665.5,2450665.5
2025-07,2285778.0,2285778.0
2025-08,1081841.4,1081841.4
2025-09,1778498.5,1778498.5
2025-10,1308424.5,1308424.5
2025-11,3507335.2,3507335.2
2025-12,4509686.5,4509686.5
