mes_ano,Malha,Total
2025-01,769900.1,769900.1
2025-02,423688.97,423688.97
2025-03,501009.88,501009.88
2025-04,399362.56,399362.56
2025-05,526000.6,526000.6
2025-06,591528.75,591528.75
2025-07,341402.9,341402.9
2025-08,407855.84,407855.84
2025-09,441268.06,441268.06
2025-10,441376.84,441376.84
2025-11,727393.5,727393.5
2025-12,897409.44,897409.44
