unique_id,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Le Lis Beaute,1600164.6,922494.1,968762.3,900388.94,1097314.0,1017615.3,939451.6,1014675.44,740679.5,723789.4,777160.5,2373584.5
Le Lis Blanc Deux,87623080.0,49892004.0,51582756.0,48388684.0,58676228.0,54901344.0,50592484.0,55274880.0,38692360.0,38055012.0,41529828.0,131858860.0
Le Lis Casa,3655245.8,1987555.4,2145201.5,1932773.8,2479168.0,2242735.5,2015903.2,2167421.5,1551161.0,1462002.4,1596608.5,5321779.5
Le Lis Noir,11300.115,2793.0303,5323.4907,2426.2173,8830.904,4264.2026,2040.3176,911.91797,-5.9178925,-2432.3604,-3990.9658,6622.0493
Total,92889800.0,52804850.0,54702044.0,51224270.0,62261544.0,58165960.0,53549880.0,58457890.0,40984196.0,40238372.0,43899604.0,139560850.0
