mes_ano,Moda,Total
2025-01,1375184.1,1375184.1
2025-02,1007018.7,1007018.7
2025-03,419000.6,419000.6
2025-04,539254.75,539254.75
2025-05,776594.56,776594.56
2025-06,1980321.0,1980321.0
2025-07,1546791.9,1546791.9
2025-08,952415.75,952415.75
2025-09,664308.1,664308.1
2025-10,772829.3,772829.3
2025-11,1297918.4,1297918.4
2025-12,1780912.2,1780912.2
