unique_id,ds,LSTM_steps1000_lr0.001_batch32_encoder200_decoder200_enc_layers2_dec_layers2_context10_biasTrue_dropout0.0
JJ,2025-07-15,249714.38
JJ,2025-07-16,318935.72
JJ,2025-07-17,318102.94
JJ,2025-07-18,349209.22
JJ,2025-07-19,575944.3
JJ,2025-07-20,326026.5
JJ,2025-07-21,305281.12
JJ,2025-07-22,256456.53
JJ,2025-07-23,245346.47
JJ,2025-07-24,400901.8
JJ,2025-07-25,418929.25
JJ,2025-07-26,470854.0
JJ,2025-07-27,191859.2
JJ,2025-07-28,170845.19
JJ,2025-07-29,242386.95
JJ,2025-07-30,315526.2
JJ,2025-07-31,281327.12
JJ,2025-08-01,266949.28
JJ,2025-08-02,344738.7
JJ,2025-08-03,345571.3
JJ,2025-08-04,189536.03
JJ,2025-08-05,203353.16
JJ,2025-08-06,277810.16
JJ,2025-08-07,304836.88
JJ,2025-08-08,346974.66
JJ,2025-08-09,430926.7
JJ,2025-08-10,231699.78
JJ,2025-08-11,175084.9
JJ,2025-08-12,145845.94
JJ,2025-08-13,179414.34
JJ,2025-08-14,195180.97
JJ,2025-08-15,280237.3
JJ,2025-08-16,469112.5
JJ,2025-08-17,260952.83
JJ,2025-08-18,184049.53
JJ,2025-08-19,217901.47
JJ,2025-08-20,231500.22
JJ,2025-08-21,286937.88
JJ,2025-08-22,211095.72
JJ,2025-08-23,523748.06
JJ,2025-08-24,304883.72
JJ,2025-08-25,171492.47
JJ,2025-08-26,305299.0
JJ,2025-08-27,199064.94
JJ,2025-08-28,271878.28
JJ,2025-08-29,298407.12
JJ,2025-08-30,504641.44
JJ,2025-08-31,264739.9
JJ,2025-09-01,192565.98
JJ,2025-09-02,199564.88
JJ,2025-09-03,192490.03
JJ,2025-09-04,256459.53
JJ,2025-09-05,317456.25
JJ,2025-09-06,367023.66
JJ,2025-09-07,274930.25
JJ,2025-09-08,200946.12
JJ,2025-09-09,218025.47
JJ,2025-09-10,352140.78
JJ,2025-09-11,289584.78
JJ,2025-09-12,361471.8
JJ,2025-09-13,470763.7
JJ,2025-09-14,280256.84
JJ,2025-09-15,197899.72
JJ,2025-09-16,200073.0
JJ,2025-09-17,247732.31
JJ,2025-09-18,252665.47
JJ,2025-09-19,309521.4
JJ,2025-09-20,510841.03
JJ,2025-09-21,264584.28
JJ,2025-09-22,241198.73
JJ,2025-09-23,159596.39
JJ,2025-09-24,188195.72
JJ,2025-09-25,223546.45
JJ,2025-09-26,313846.38
JJ,2025-09-27,410396.2
JJ,2025-09-28,241808.47
JJ,2025-09-29,150520.64
JJ,2025-09-30,253538.92
JJ,2025-10-01,237316.88
JJ,2025-10-02,199686.78
JJ,2025-10-03,259719.36
JJ,2025-10-04,376361.75
JJ,2025-10-05,194356.9
JJ,2025-10-06,217937.84
JJ,2025-10-07,186001.86
JJ,2025-10-08,275338.62
JJ,2025-10-09,293359.56
JJ,2025-10-10,312271.62
JJ,2025-10-11,386977.72
JJ,2025-10-12,288910.9
JJ,2025-10-13,215133.98
JJ,2025-10-14,240121.66
JJ,2025-10-15,226362.0
JJ,2025-10-16,256157.11
JJ,2025-10-17,258088.19
JJ,2025-10-18,343740.47
JJ,2025-10-19,266552.22
JJ,2025-10-20,190408.31
JJ,2025-10-21,229100.94
JJ,2025-10-22,234356.62
JJ,2025-10-23,299644.9
JJ,2025-10-24,317751.53
JJ,2025-10-25,403312.28
JJ,2025-10-26,173083.36
JJ,2025-10-27,209847.94
JJ,2025-10-28,274045.47
JJ,2025-10-29,215019.25
JJ,2025-10-30,336033.6
JJ,2025-10-31,278164.53
JJ,2025-11-01,489986.38
JJ,2025-11-02,258457.0
JJ,2025-11-03,228108.64
JJ,2025-11-04,239995.23
JJ,2025-11-05,203406.34
JJ,2025-11-06,279494.25
JJ,2025-11-07,352396.78
JJ,2025-11-08,473996.2
JJ,2025-11-09,251493.72
JJ,2025-11-10,189546.44
JJ,2025-11-11,267532.56
JJ,2025-11-12,251827.66
JJ,2025-11-13,265872.94
JJ,2025-11-14,321369.25
JJ,2025-11-15,486361.1
JJ,2025-11-16,129654.69
JJ,2025-11-17,115835.03
JJ,2025-11-18,182759.97
JJ,2025-11-19,235218.81
JJ,2025-11-20,367796.78
JJ,2025-11-21,339993.72
JJ,2025-11-22,608856.4
JJ,2025-11-23,281591.8
JJ,2025-11-24,297355.03
JJ,2025-11-25,270151.9
JJ,2025-11-26,342066.03
JJ,2025-11-27,439276.8
JJ,2025-11-28,1208975.8
JJ,2025-11-29,815121.5
JJ,2025-11-30,623291.5
JJ,2025-12-01,408010.5
JJ,2025-12-02,286658.53
JJ,2025-12-03,256584.64
JJ,2025-12-04,369714.1
JJ,2025-12-05,369352.75
JJ,2025-12-06,652873.1
JJ,2025-12-07,373335.78
JJ,2025-12-08,389207.12
JJ,2025-12-09,405510.28
JJ,2025-12-10,413970.25
JJ,2025-12-11,481503.8
JJ,2025-12-12,557777.9
JJ,2025-12-13,750600.75
JJ,2025-12-14,586438.56
JJ,2025-12-15,579162.1
JJ,2025-12-16,639985.75
JJ,2025-12-17,666263.6
JJ,2025-12-18,801645.6
JJ,2025-12-19,880238.2
JJ,2025-12-20,1079891.6
JJ,2025-12-21,911327.5
JJ,2025-12-22,1179192.5
JJ,2025-12-23,1437958.5
JJ,2025-12-24,932565.06
JJ,2025-12-25,966765.44
JJ,2025-12-26,523597.44
JJ,2025-12-27,501162.25
JJ,2025-12-28,424446.56
JJ,2025-12-29,537674.75
JJ,2025-12-30,406694.8
JJ,2025-12-31,355375.88
