unique_id,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Alfaiataria,3865194.5,4852057.0,1988366.9,1349747.6,2325975.8,5795016.5,3218110.2,1739703.9,2226909.8,1481827.0,2931145.8,2539666.0
Jeans e Sarja,10375722.0,12281620.0,6090667.5,4675455.0,7015935.0,15029177.0,9439696.0,5675603.0,7045601.5,5295413.0,8261261.0,7266381.0
Malha,3327922.0,4530405.0,1642687.9,1070804.5,1955296.5,5493947.5,3028997.5,1722503.5,2061885.9,1385242.9,2925646.5,2431200.2
Outros,4951652.0,5810620.5,2431132.0,1691957.8,2582134.5,6357525.5,3556873.5,2102276.2,2432354.0,1859435.2,3638979.8,3348033.2
Tecido Plano,1956561.1,1800971.0,1105164.8,1455421.2,1407526.6,2802540.0,2077710.6,1620756.8,1716491.1,1806298.0,2146868.2,2819141.2
Total,24477052.0,29275672.0,13258019.0,10243386.0,15286869.0,35478210.0,21321388.0,12860843.0,15483242.0,11828216.0,19903902.0,18404422.0
