mes_ano,Malha,Total
2025-01,1685415.9,1685415.9
2025-02,1363003.2,1363003.2
2025-03,966227.75,966227.75
2025-04,1061438.0,1061438.0
2025-05,1076950.8,1076950.8
2025-06,3037188.0,3037188.0
2025-07,1548678.4,1548678.4
2025-08,1390969.0,1390969.0
2025-09,1444463.6,1444463.6
2025-10,1328856.4,1328856.4
2025-11,3224301.0,3224301.0
2025-12,5018703.5,5018703.5
