unique_id,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Moda,2877802.8,2988432.2,3479316.2,3409869.0,3820540.5,4331580.0,3383878.2,3008628.8,2901303.0,3001338.5,3744656.8,4871792.0
Total,2877802.8,2988432.2,3479316.2,3409869.0,3820540.5,4331580.0,3383878.2,3008628.8,2901303.0,3001338.5,3744656.8,4871792.0
