mes_ano,Tecido Plano,Total
2025-01,4391195.0,4391195.0
2025-02,2188271.2,2188271.2
2025-03,1994128.9,1994128.9
2025-04,2245975.8,2245975.8
2025-05,2054266.0,2054266.0
2025-06,5103593.5,5103593.5
2025-07,3305304.8,3305304.8
2025-08,2842599.2,2842599.2
2025-09,2196083.2,2196083.2
2025-10,2357165.0,2357165.0
2025-11,4877170.5,4877170.5
2025-12,5936017.5,5936017.5
