unique_id,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Alfaiataria,428299.22,369720.9,511083.84,743097.4,694571.4,1013114.0,879050.1,982291.5,973559.0,1138918.8,1295688.8,693008.06
Total,428299.22,369720.9,511083.84,743097.4,694571.4,1013114.0,879050.1,982291.5,973559.0,1138918.8,1295688.8,693008.06
