mes_ano,Le Lis Blanc Deux,Total
2025-01,64374470.0,64374470.0
2025-02,39641844.0,39641844.0
2025-03,43638864.0,43638864.0
2025-04,42201470.0,42201470.0
2025-05,59476490.0,59476490.0
2025-06,60748920.0,60748920.0
2025-07,50002264.0,50002264.0
2025-08,45785770.0,45785770.0
2025-09,38082360.0,38082360.0
2025-10,34309256.0,34309256.0
2025-11,39369330.0,39369330.0
2025-12,53721748.0,53721748.0
