month,LSTM_steps1_lr0.001_batch32_encoder200_decoder200_enc_layers2_dec_layers2_context10_biasTrue_dropout0.0
2025-03,8639298.0
2025-04,8365384.5
2025-05,8788834.0
2025-06,8565474.0
2025-07,8760280.0
2025-08,8755338.0
2025-09,8466708.0
2025-10,8809792.0
2025-11,8463378.0
2025-12,8741338.0
2026-01,8722211.0
2026-02,7871251.0
