mes_ano,Malha e Moletom,Total
2025-01,1232836.2,1232836.2
2025-02,846616.8,846616.8
2025-03,889148.3,889148.3
2025-04,530036.5,530036.5
2025-05,589314.44,589314.44
2025-06,844258.06,844258.06
2025-07,741043.75,741043.75
2025-08,1065893.8,1065893.8
2025-09,1165473.0,1165473.0
2025-10,1044488.75,1044488.75
2025-11,1373354.9,1373354.9
2025-12,1847440.9,1847440.9
