mes_ano,Alfaiataria,Total
2025-01,1072124.8,1072124.8
2025-02,748499.8,748499.8
2025-03,1171557.4,1171557.4
2025-04,1941087.6,1941087.6
2025-05,1772051.2,1772051.2
2025-06,2905621.5,2905621.5
2025-07,2889897.2,2889897.2
2025-08,2293907.8,2293907.8
2025-09,1218910.2,1218910.2
2025-10,1456089.9,1456089.9
2025-11,1584243.0,1584243.0
2025-12,645471.1,645471.1
