unique_id,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09
Acessorio,1939648.5,2067110.5,2164996.5,2214808.5,1908877.5,1910903.0,1879854.1,1930189.6,2163581.5,2230337.2,1590559.9,2055091.6
Alfaiataria,5843960.0,6460534.0,7475018.5,6497268.5,4714637.0,4291163.5,4310000.5,4610092.5,6115519.5,4832441.5,2865773.5,3717853.2
Casual/Ville/Tricot/Moda,10612581.0,12847608.0,15496708.0,14592712.0,10929557.0,9688025.0,10117845.0,10761268.0,12992536.0,10723414.0,7041668.5,9195576.0
Couro,1616834.9,1527100.2,1651303.8,1157199.0,637669.7,477128.2,483571.34,530557.25,939821.25,582335.8,129729.984,302689.47
Fluidos/Plano,3509877.8,3648597.0,3753050.2,3779934.0,3327106.5,3365931.0,3260398.0,3304503.2,3714676.8,3911043.0,2727513.0,3560240.8
Jeans/Sarja,13368607.0,12741020.0,13863954.0,7624454.0,2912019.5,594985.3,-530977.6,-502494.06,3816213.2,1920522.6,-3648034.8,-385430.78
Outros,3909931.0,4384484.5,4898275.0,4742860.0,3779329.8,3584856.8,3595676.2,3770396.8,4540724.5,4014960.2,2811572.0,3556699.5
Seda,8332174.0,6869338.5,6133017.5,6016300.5,8163383.5,9496667.0,9362467.0,9094327.0,9117971.0,10933693.0,9606820.0,11281792.0
Total,49133616.0,50545790.0,55436324.0,46625536.0,36372580.0,33409660.0,32478836.0,33498840.0,43401044.0,39148748.0,23125602.0,33284512.0
