,year_month,LSTM,NHITS
0,2024-09,4496388.0,3965263.0
1,2024-10,11401903.0,10039992.0
2,2024-11,12623981.0,10975858.0
3,2024-12,13889867.0,12538695.0
4,2025-01,13014086.0,12024148.0
5,2025-02,10783521.0,10312977.0
6,2025-03,11367911.0,8937033.0
7,2025-04,11210907.0,6597306.0
8,2025-05,11710187.0,7447754.5
9,2025-06,11732564.0,9158435.0
10,2025-07,12788955.0,11353096.0
11,2025-08,11499902.0,10501584.0
12,2025-09,6800145.5,4862223.5
