unique_id,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
Acessorio,819374.1,1545104.2,1639773.1,1917463.4,1322013.6,1964411.9,2138451.0,2662760.5,2787217.5,2128596.0,2238392.8,1939607.4
Alfaiataria,6446074.5,7280329.5,6100348.0,5772590.0,4308787.5,5928560.5,6089081.0,6578638.0,7816016.5,6413579.5,8107458.5,7407300.0
Casual/Ville/Tricot/Moda,10948757.0,14431432.0,12474560.0,12740326.0,9476218.0,12827667.0,13265793.0,14548634.0,16271028.0,13594428.0,15876205.0,14380023.0
Couro,2508984.0,3062685.0,3285189.0,2780317.8,2375414.0,3860572.8,4380282.0,4225738.5,4463676.0,3509856.8,4072059.8,3845340.0
Fluidos/Plano,4807007.5,6834367.5,6218124.5,5870846.5,4785258.0,6716886.0,6788795.5,6829016.0,8073850.0,6036581.5,7603349.0,6657201.0
Jeans/Sarja,7427890.0,12182165.0,10225637.0,7948203.5,5662502.0,9475742.0,10009676.0,9440827.0,13589117.0,8008907.0,13034471.0,11357701.0
Outros,2911968.5,4136576.5,3965514.5,4261165.0,3116980.8,4149887.0,4328450.5,5064376.5,5515231.5,4606340.0,5127132.5,4583711.0
Seda,2612962.5,3891038.0,5355709.0,5496688.0,3438096.8,4333490.5,5573443.5,8118744.0,7570103.5,5889485.5,5013085.0,5493703.0
Total,38483020.0,53363696.0,49264852.0,46787600.0,34485268.0,49257220.0,52573976.0,57468732.0,66086240.0,50187772.0,61072150.0,55664588.0
