mes_ano,Couro,Total
2025-01,1823806.5,1823806.5
2025-02,1463505.9,1463505.9
2025-03,2615523.8,2615523.8
2025-04,3028919.0,3028919.0
2025-05,2553469.5,2553469.5
2025-06,1796513.0,1796513.0
2025-07,1344101.4,1344101.4
2025-08,804564.5,804564.5
2025-09,504658.12,504658.12
2025-10,189022.42,189022.42
2025-11,25123.244,25123.244
2025-12,244322.2,244322.2
