unique_id,ds,LSTM_steps1_lr0.001_batch32_encoder200_decoder200_enc_layers2_dec_layers2_context10_biasTrue_dropout0.0
DD,2025-07-28,276716.4
DD,2025-07-29,280469.7
DD,2025-07-30,288979.66
DD,2025-07-31,290833.8
DD,2025-08-01,300691.75
DD,2025-08-02,293552.72
DD,2025-08-03,326958.2
DD,2025-08-04,283902.4
DD,2025-08-05,314389.4
DD,2025-08-06,321003.1
DD,2025-08-07,350164.97
DD,2025-08-08,337230.06
DD,2025-08-09,318747.6
DD,2025-08-10,346799.0
DD,2025-08-11,299706.28
DD,2025-08-12,279893.84
DD,2025-08-13,286807.1
DD,2025-08-14,288184.34
DD,2025-08-15,289975.84
DD,2025-08-16,295517.47
DD,2025-08-17,287124.75
DD,2025-08-18,274095.88
DD,2025-08-19,288792.94
DD,2025-08-20,276437.72
DD,2025-08-21,299295.78
DD,2025-08-22,291355.12
DD,2025-08-23,302105.38
DD,2025-08-24,290760.22
DD,2025-08-25,252595.6
DD,2025-08-26,278635.22
DD,2025-08-27,291969.56
DD,2025-08-28,301905.0
DD,2025-08-29,291416.16
DD,2025-08-30,288337.6
DD,2025-08-31,269156.7
DD,2025-09-01,267399.9
DD,2025-09-02,282072.7
DD,2025-09-03,289482.3
DD,2025-09-04,285209.38
DD,2025-09-05,298429.06
DD,2025-09-06,284324.28
DD,2025-09-07,404469.5
DD,2025-09-08,268478.2
DD,2025-09-09,267359.53
DD,2025-09-10,270515.5
DD,2025-09-11,279814.7
DD,2025-09-12,285199.88
DD,2025-09-13,292581.03
DD,2025-09-14,290670.7
DD,2025-09-15,275358.78
DD,2025-09-16,293630.03
DD,2025-09-17,275653.12
DD,2025-09-18,288464.16
DD,2025-09-19,297936.8
DD,2025-09-20,282695.4
DD,2025-09-21,296001.16
DD,2025-09-22,277317.66
DD,2025-09-23,271399.78
DD,2025-09-24,281704.2
DD,2025-09-25,284842.3
DD,2025-09-26,279497.56
DD,2025-09-27,281719.2
DD,2025-09-28,291921.1
DD,2025-09-29,268801.53
DD,2025-09-30,278993.34
DD,2025-10-01,271257.66
DD,2025-10-02,288517.75
DD,2025-10-03,283017.28
DD,2025-10-04,286618.44
DD,2025-10-05,285883.0
DD,2025-10-06,268407.0
DD,2025-10-07,274630.2
DD,2025-10-08,286333.53
DD,2025-10-09,276193.28
DD,2025-10-10,284719.88
DD,2025-10-11,293814.47
DD,2025-10-12,284133.1
DD,2025-10-13,267896.03
DD,2025-10-14,271908.16
DD,2025-10-15,268667.75
DD,2025-10-16,288757.44
DD,2025-10-17,290731.12
DD,2025-10-18,292844.22
DD,2025-10-19,273758.9
DD,2025-10-20,283023.44
DD,2025-10-21,270954.47
DD,2025-10-22,292128.75
DD,2025-10-23,293393.9
DD,2025-10-24,275328.22
DD,2025-10-25,293533.47
DD,2025-10-26,291928.16
DD,2025-10-27,275452.06
DD,2025-10-28,273876.2
DD,2025-10-29,287978.38
DD,2025-10-30,296992.38
DD,2025-10-31,295444.56
DD,2025-11-01,287742.7
DD,2025-11-02,309696.16
DD,2025-11-03,260986.92
DD,2025-11-04,261390.39
DD,2025-11-05,274239.94
DD,2025-11-06,294295.7
DD,2025-11-07,296820.12
DD,2025-11-08,317257.16
DD,2025-11-09,291027.38
DD,2025-11-10,298445.44
DD,2025-11-11,328722.72
DD,2025-11-12,298827.28
DD,2025-11-13,357913.3
DD,2025-11-14,345477.16
DD,2025-11-15,221185.66
DD,2025-11-16,355440.78
DD,2025-11-17,339862.7
DD,2025-11-18,303057.88
DD,2025-11-19,348362.62
DD,2025-11-20,325940.94
DD,2025-11-21,335169.9
DD,2025-11-22,337241.12
DD,2025-11-23,343553.66
DD,2025-11-24,315559.0
DD,2025-11-25,327305.0
DD,2025-11-26,342142.22
DD,2025-11-27,338087.16
DD,2025-11-28,350629.56
DD,2025-11-29,319044.88
DD,2025-11-30,328077.72
DD,2025-12-01,317939.78
DD,2025-12-02,334471.0
DD,2025-12-03,337934.44
DD,2025-12-04,360236.97
DD,2025-12-05,347411.25
DD,2025-12-06,349177.66
DD,2025-12-07,326467.8
DD,2025-12-08,327885.94
DD,2025-12-09,320029.4
DD,2025-12-10,338814.94
DD,2025-12-11,335451.75
DD,2025-12-12,374484.16
DD,2025-12-13,335147.12
DD,2025-12-14,360211.0
DD,2025-12-15,338708.3
DD,2025-12-16,340113.47
DD,2025-12-17,323351.16
DD,2025-12-18,376019.7
DD,2025-12-19,384972.8
DD,2025-12-20,358613.88
DD,2025-12-21,342372.53
DD,2025-12-22,363034.84
DD,2025-12-23,368749.0
DD,2025-12-24,349032.34
DD,2025-12-25,373427.3
DD,2025-12-26,341399.44
DD,2025-12-27,309885.88
DD,2025-12-28,348764.2
DD,2025-12-29,324296.56
DD,2025-12-30,292971.84
DD,2025-12-31,298499.6
