mes_ano,Dudalina Fem,Total
2025-01,7737560.0,7737560.0
2025-02,4645175.0,4645175.0
2025-03,4446499.0,4446499.0
2025-04,6053076.0,6053076.0
2025-05,6168305.0,6168305.0
2025-06,11648490.0,11648490.0
2025-07,6406430.0,6406430.0
2025-08,5308344.0,5308344.0
2025-09,5274454.5,5274454.5
2025-10,5738134.5,5738134.5
2025-11,7734689.0,7734689.0
2025-12,7777635.0,7777635.0
