mes_ano,Jeans/Sarja,Total
2025-01,6891289.0,6891289.0
2025-02,3469112.5,3469112.5
2025-03,3875389.0,3875389.0
2025-04,4478545.5,4478545.5
2025-05,5608577.5,5608577.5
2025-06,7111183.5,7111183.5
2025-07,5294830.5,5294830.5
2025-08,4989447.5,4989447.5
2025-09,3903390.0,3903390.0
2025-10,3400855.5,3400855.5
2025-11,3896727.2,3896727.2
2025-12,4531411.5,4531411.5
