mes_ano,Casual,Total
2025-01,2053427.2,2053427.2
2025-02,1674834.8,1674834.8
2025-03,1670930.1,1670930.1
2025-04,1966349.9,1966349.9
2025-05,2426633.5,2426633.5
2025-06,2295248.2,2295248.2
2025-07,2092773.5,2092773.5
2025-08,2057465.2,2057465.2
2025-09,1883601.0,1883601.0
2025-10,1661665.1,1661665.1
2025-11,1340793.2,1340793.2
2025-12,1207218.1,1207218.1
