Modelo,Score_Composto,MAPE,RMSE,MAE,MSE
LSTM_1_0.001_32_200_200_2_2_True_0.0_-1_-1_100_1,0.0,,,,
GRU_1_0.001_64_50_50_2_2_tanh_True_0.0_-1_-1_100_robust_1_MAE,0.0,,,,
