,year_month,LSTM
0,2024-09,7099618.0
1,2024-10,11579626.0
2,2024-11,12552138.0
3,2024-12,13888122.0
4,2025-01,12800394.0
5,2025-02,10798004.0
6,2025-03,11341327.0
7,2025-04,11003121.0
8,2025-05,11653281.0
9,2025-06,11690786.0
10,2025-07,12674801.0
11,2025-08,11217795.0
12,2025-09,4120509.0
