unique_id,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Jeans e Sarja,2314478.2,1977363.2,1898688.8,1919601.5,1973678.8,2285771.0,2340047.8,2050923.1,2082671.9,2194062.5,2162513.5,2478003.0
Malha e Moletom,2371755.0,2017874.1,1915066.2,1943083.6,1997158.5,2345293.2,2399682.2,2081939.2,2121692.8,2238782.5,2209755.2,2550562.2
Moda,2945846.2,2502075.5,2363137.5,2401101.0,2467593.8,2914363.8,2981340.8,2575860.2,2628525.2,2775525.0,2741252.8,3173364.2
Outros,1413459.8,1207216.2,1158153.2,1171249.5,1204180.5,1396086.5,1429155.9,1251632.2,1271379.1,1339522.1,1320393.8,1513879.5
Total,9045539.0,7704529.0,7335046.0,7435035.5,7642611.5,8941514.0,9150227.0,7960355.0,8104269.0,8547892.0,8433916.0,9715808.0
