mes_ano,Le Lis Beaute,Total
2025-01,1223816.5,1223816.5
2025-02,705713.56,705713.56
2025-03,706547.8,706547.8
2025-04,783038.9,783038.9
2025-05,952949.8,952949.8
2025-06,767820.9,767820.9
2025-07,682720.1,682720.1
2025-08,760234.8,760234.8
2025-09,603029.44,603029.44
2025-10,718952.3,718952.3
2025-11,817506.75,817506.75
2025-12,2080707.4,2080707.4
