month,GRU_steps2000_lr0.0001_batch64_encoder200_decoder200_enc_layers2_dec_layers2_context10_activationtanh_biasTrue_dropout0.0_lr_decays-1_early_stop-1_val_check100_scalerrobust_seed1
2024-10,43454800.0
2024-11,49311720.0
2024-12,51239480.0
2025-01,47895030.0
2025-02,35250812.0
2025-03,36360972.0
2025-04,28006420.0
2025-05,38530200.0
2025-06,47266624.0
2025-07,35800868.0
2025-08,30793660.0
2025-09,22755062.0
