month,GRU_steps3000_lr0.001_batch32_encoder200_decoder200_enc_layers2_dec_layers2_context10_activationtanh_biasTrue_dropout0.0_lr_decays-1_early_stop-1_val_check100_scalerrobust_seed1
2024-10,39702116.0
2024-11,47127570.0
2024-12,50021176.0
2025-01,58050804.0
2025-02,37595970.0
2025-03,36467036.0
2025-04,29631184.0
2025-05,41252684.0
2025-06,47077720.0
2025-07,39789988.0
2025-08,33181984.0
2025-09,29970624.0
