ds,"NHITS_steps1_lr0.001_batch32_activationReLU_blocks[1, 1, 1]_mlp_units[[512, 512], [512, 512], [512, 512]]_pool_kernel[2, 2, 1]_freq_downsample[4, 2, 1]_poolingMaxPool1d_dropout0.0_scalerrobust_window_batch1024_step1_seed1"
2023-10-03,1882508.6
2023-10-04,1642447.5
2023-10-05,1480906.5
2023-10-06,1221679.4
2023-10-07,900549.0
2023-10-08,862707.2
2023-10-09,1368976.5
2023-10-10,1617593.8
2023-10-11,1437349.1
2023-10-12,1701160.5
2023-10-13,1576289.2
2023-10-14,1648185.0
2023-10-15,1237357.0
2023-10-16,1211012.0
2023-10-17,1567773.8
2023-10-18,1439328.1
2023-10-19,1630922.9
2023-10-20,1481493.9
2023-10-21,1622264.2
2023-10-22,1339684.6
2023-10-23,1624069.9
2023-10-24,1905040.2
2023-10-25,1857817.5
2023-10-26,1695477.5
2023-10-27,1262581.4
2023-10-28,1348487.0
2023-10-29,823962.75
2023-10-30,1208119.0
2023-10-31,1412400.4
2023-11-01,1923855.8
2023-11-02,1501833.9
2023-11-03,1153830.4
2023-11-04,1161699.2
2023-11-05,1356529.0
2023-11-06,1596850.1
2023-11-07,1882858.8
2023-11-08,1758764.0
2023-11-09,1748763.4
2023-11-10,1776527.8
2023-11-11,1293941.9
2023-11-12,1011801.4
2023-11-13,1714736.6
2023-11-14,1927804.2
2023-11-15,1873114.0
2023-11-16,1878942.6
2023-11-17,1665408.1
2023-11-18,1825421.0
2023-11-19,1834276.2
2023-11-20,1697367.6
2023-11-21,2031857.5
2023-11-22,1972024.0
2023-11-23,1823104.9
2023-11-24,1733140.5
2023-11-25,1620451.6
2023-11-26,1400119.8
2023-11-27,1636890.8
2023-11-28,1762646.0
2023-11-29,1821639.5
2023-11-30,1963423.5
2023-12-01,1635971.2
2023-12-02,1756649.9
2023-12-03,1759022.5
2023-12-04,1820604.5
2023-12-05,1964282.8
2023-12-06,1814493.6
2023-12-07,1273754.2
2023-12-08,1859717.5
2023-12-09,1622891.5
2023-12-10,1383568.5
2023-12-11,1629660.0
2023-12-12,2062577.8
2023-12-13,1657543.2
2023-12-14,1586461.2
2023-12-15,1593585.6
2023-12-16,1583562.8
2023-12-17,1455697.8
2023-12-18,1698390.1
2023-12-19,1655296.9
2023-12-20,1861769.4
2023-12-21,1758951.2
2023-12-22,1656597.9
2023-12-23,1613610.4
2023-12-24,1622005.5
2023-12-25,1515881.0
2023-12-26,1791557.0
2023-12-27,1755317.8
2023-12-28,1572675.8
2023-12-29,1664272.8
2023-12-30,1358742.0
2023-12-31,1494837.0
2024-01-01,1390910.4
2024-01-02,1616798.5
2024-01-03,1501735.9
2024-01-04,1732493.2
2024-01-05,1460061.2
2024-01-06,1121382.4
2024-01-07,1461708.0
2024-01-08,1589432.6
2024-01-09,1962305.5
2024-01-10,1644190.0
2024-01-11,2122454.8
2024-01-12,1343448.6
2024-01-13,1528398.2
2024-01-14,1794122.5
2024-01-15,1733654.0
2024-01-16,1673109.8
2024-01-17,1781666.9
2024-01-18,1923505.0
2024-01-19,1841106.0
2024-01-20,1540793.8
2024-01-21,1568851.6
2024-01-22,1586766.6
2024-01-23,1846858.5
2024-01-24,1933173.8
2024-01-25,2010282.4
2024-01-26,1767134.8
2024-01-27,1829448.0
2024-01-28,1917260.2
2024-01-29,1830142.4
2024-01-30,1749158.6
2024-01-31,1982373.9
2024-02-01,1624121.6
2024-02-02,1483670.1
2024-02-03,1334876.0
2024-02-04,1433846.5
2024-02-05,1267508.1
2024-02-06,1623772.5
2024-02-07,1892268.8
2024-02-08,1958962.1
2024-02-09,1644161.5
2024-02-10,1753267.6
2024-02-11,1400523.5
2024-02-12,1685415.0
2024-02-13,1684624.9
2024-02-14,1591339.9
2024-02-15,1767066.5
2024-02-16,1192630.6
2024-02-17,993465.25
2024-02-18,987470.7
2024-02-19,1329974.2
2024-02-20,1395707.8
2024-02-21,1372010.0
2024-02-22,1525615.6
2024-02-23,1255129.4
2024-02-24,1465058.9
2024-02-25,1214688.8
2024-02-26,1558459.4
2024-02-27,1689151.5
2024-02-28,1639914.6
2024-02-29,1763904.0
2024-03-01,1813072.5
2024-03-02,1336443.5
2024-03-03,1882427.1
2024-03-04,1593631.1
2024-03-05,1305116.9
2024-03-06,1479915.8
2024-03-07,1590557.1
2024-03-08,1560234.6
2024-03-09,1361511.9
2024-03-10,1355759.8
2024-03-11,1857667.1
2024-03-12,1801146.5
2024-03-13,2050638.0
2024-03-14,1438769.5
2024-03-15,1315704.5
2024-03-16,1147526.8
2024-03-17,1238911.8
2024-03-18,1259601.8
2024-03-19,1229965.0
2024-03-20,1539219.1
2024-03-21,1148095.2
2024-03-22,1152846.0
2024-03-23,1379428.4
2024-03-24,1226514.0
2024-03-25,1783473.8
2024-03-26,1760691.2
2024-03-27,1674689.8
2024-03-28,1547210.2
2024-03-29,1382266.5
2024-03-30,1442468.4
2024-03-31,1556985.4
2024-04-01,1589346.1
2024-04-02,1802469.4
2024-04-03,1690879.5
2024-04-04,1688527.4
2024-04-05,1691041.6
2024-04-06,1554463.5
2024-04-07,1600138.1
2024-04-08,1540963.9
2024-04-09,1367180.8
2024-04-10,1441203.9
2024-04-11,1564019.5
2024-04-12,1195414.5
2024-04-13,1372720.0
2024-04-14,1436755.5
2024-04-15,1744535.9
2024-04-16,1732568.9
2024-04-17,1468055.5
2024-04-18,1779315.1
2024-04-19,1314966.8
2024-04-20,1790065.0
