mes_ano,Outros,Total
2025-01,2242253.5,2242253.5
2025-02,2239121.8,2239121.8
2025-03,1289148.0,1289148.0
2025-04,1739910.2,1739910.2
2025-05,2602522.8,2602522.8
2025-06,7374165.5,7374165.5
2025-07,2420648.2,2420648.2
2025-08,2198148.0,2198148.0
2025-09,1922081.9,1922081.9
2025-10,1586742.1,1586742.1
2025-11,6689106.0,6689106.0
2025-12,2983166.8,2983166.8
