unique_id,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Outros,512434.0,335922.72,286555.88,302140.9,372797.0,1080297.6,922749.06,584849.75,465373.34,473894.2,460201.97,715073.7
Total,512434.0,335922.72,286555.88,302140.9,372797.0,1080297.6,922749.06,584849.75,465373.34,473894.2,460201.97,715073.7
