mes_ano,Le Lis Beaute,Total
2025-02,585760.25,585760.25
2025-03,241151.23,241151.23
2025-04,413207.06,413207.06
2025-05,724179.0,724179.0
2025-06,685393.7,685393.7
2025-07,639536.7,639536.7
2025-08,657890.06,657890.06
2025-09,713081.4,713081.4
2025-10,886432.44,886432.44
2025-11,1165699.6,1165699.6
2025-12,2756598.2,2756598.2
2026-01,910781.5,910781.5
