unique_id,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01
Le Lis Beaute,585760.25,241151.23,413207.06,724179.0,685393.7,639536.7,657890.06,713081.4,886432.44,1165699.6,2756598.2,910781.5
Total,585760.25,241151.23,413207.06,724179.0,685393.7,639536.7,657890.06,713081.4,886432.44,1165699.6,2756598.2,910781.5
