month,LSTM_steps1_lr0.001_batch32_encoder200_decoder200_enc_layers2_dec_layers2_context10_biasTrue_dropout0.0
2024-10,38831544.0
2024-11,40608510.0
2024-12,44629316.0
2025-01,42167044.0
2025-02,34988324.0
2025-03,37190916.0
2025-04,36858484.0
2025-05,40173828.0
2025-06,43596680.0
2025-07,39966556.0
2025-08,38298370.0
2025-09,38839456.0
