mes_ano,Le Lis Blanc Deux,Total
2025-01,58936460.0,58936460.0
2025-02,36425224.0,36425224.0
2025-03,52606270.0,52606270.0
2025-04,39798860.0,39798860.0
2025-05,59098184.0,59098184.0
2025-06,63980670.0,63980670.0
2025-07,52364360.0,52364360.0
2025-08,47057084.0,47057084.0
2025-09,45720440.0,45720440.0
2025-10,46316876.0,46316876.0
2025-11,56016590.0,56016590.0
2025-12,58554990.0,58554990.0
