mes_ano,Le Lis Blanc Deux,Total
2025-01,59215744.0,59215744.0
2025-02,38275816.0,38275816.0
2025-03,53786360.0,53786360.0
2025-04,40908056.0,40908056.0
2025-05,59294484.0,59294484.0
2025-06,64511040.0,64511040.0
2025-07,52067856.0,52067856.0
2025-08,46638004.0,46638004.0
2025-09,45270228.0,45270228.0
2025-10,46417772.0,46417772.0
2025-11,56544160.0,56544160.0
2025-12,60427500.0,60427500.0
