max_steps,learning_rate,batch_size,encoder_hidden_size,decoder_hidden_size,encoder_n_layers,decoder_layers,context_size,encoder_activation,encoder_bias,encoder_dropout,num_lr_decays,early_stop_patience_steps,val_check_steps,scaler_type,random_seed,MAE,RMSE,MAPE
1000,0.001,32,200,200,2,2,10,tanh,True,0.0,-1,-1,100,robust,1,477509.1914285715,680585.7511316271,30.15967771522532
2000,0.001,32,200,200,2,2,10,tanh,True,0.0,-1,-1,100,robust,1,476535.1882486263,684119.7006420671,28.01891337733226
