mes_ano,Casual/Ville/Tricot/Moda,Total
2025-01,16472517.0,16472517.0
2025-02,14099870.0,14099870.0
2025-03,13396252.0,13396252.0
2025-04,14061486.0,14061486.0
2025-05,18618382.0,18618382.0
2025-06,17954538.0,17954538.0
2025-07,15751920.0,15751920.0
2025-08,14216881.0,14216881.0
2025-09,12020001.0,12020001.0
2025-10,9124071.0,9124071.0
2025-11,11371639.0,11371639.0
2025-12,15462807.0,15462807.0
