unique_id,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Dudalina Masc,7588785.5,7138322.0,3151180.2,3000595.0,3597034.2,14222223.0,6267961.0,5088226.5,4603980.0,4200413.5,10600182.0,9529581.0
Total,7588785.5,7138322.0,3151180.2,3000595.0,3597034.2,14222223.0,6267961.0,5088226.5,4603980.0,4200413.5,10600182.0,9529581.0
