mes_ano,Aroma,Total
2025-01,12324.739,12324.739
2025-02,10718.774,10718.774
2025-03,10255.089,10255.089
2025-04,10120.439,10120.439
2025-05,17346.36,17346.36
2025-06,11122.069,11122.069
2025-07,13004.438,13004.438
2025-08,16208.283,16208.283
2025-09,14897.929,14897.929
2025-10,12324.053,12324.053
2025-11,13320.337,13320.337
2025-12,22697.418,22697.418
