mes_ano,Tecido Plano,Total
2025-01,4033992.0,4033992.0
2025-02,2989003.0,2989003.0
2025-03,3216082.2,3216082.2
2025-04,3023009.2,3023009.2
2025-05,3190887.5,3190887.5
2025-06,4962055.5,4962055.5
2025-07,4302458.5,4302458.5
2025-08,3829680.5,3829680.5
2025-09,3211271.8,3211271.8
2025-10,3718331.5,3718331.5
2025-11,3615869.5,3615869.5
2025-12,5430411.0,5430411.0
