unique_id,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Alfaiataria,420322.22,348709.47,227239.19,276956.0,326690.94,465399.22,482949.25,410164.03,382222.47,435688.03,429987.78,531735.1
Jeans e Sarja,895213.9,742644.4,484326.38,589948.06,695643.25,990859.25,1028174.75,873369.4,813737.7,927625.94,915322.9,1131774.8
Malha,879781.6,757462.1,647549.7,695400.2,767460.0,922167.2,955313.4,867846.3,822161.94,898477.44,879760.5,1014272.7
Outros,1515830.5,1328739.9,1263648.8,1297457.6,1393673.8,1543588.2,1597690.2,1502655.1,1435002.0,1535992.9,1497425.6,1661510.9
Tecido Plano,3081630.5,2656233.5,2286967.8,2448569.5,2697640.5,3224658.2,3340358.5,3041105.5,2882568.2,3145831.0,3079786.2,3542415.8
Total,6792779.0,5833789.5,4909732.0,5308331.5,5881108.5,7146672.0,7404486.0,6695140.5,6335692.0,6943615.5,6802283.0,7881709.0
