unique_id,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Outros,2242253.5,2239121.8,1289148.0,1739910.2,2602522.8,7374165.5,2420648.2,2198148.0,1922081.9,1586742.1,6689106.0,2983166.8
Total,2242253.5,2239121.8,1289148.0,1739910.2,2602522.8,7374165.5,2420648.2,2198148.0,1922081.9,1586742.1,6689106.0,2983166.8
