mes_ano,Casual/Ville/Tricot/Moda,Total
2025-01,18248238.0,18248238.0
2025-02,12421394.0,12421394.0
2025-03,14596660.0,14596660.0
2025-04,11503298.0,11503298.0
2025-05,17043370.0,17043370.0
2025-06,21261200.0,21261200.0
2025-07,13062300.0,13062300.0
2025-08,12686221.0,12686221.0
2025-09,11369076.0,11369076.0
2025-10,10579512.0,10579512.0
2025-11,15688991.0,15688991.0
2025-12,12184722.0,12184722.0
