mes_ano,Le Lis Casa,Total
2025-01,2570821.2,2570821.2
2025-02,1544924.2,1544924.2
2025-03,2168682.0,2168682.0
2025-04,1307414.5,1307414.5
2025-05,3958711.5,3958711.5
2025-06,2629770.5,2629770.5
2025-07,2332284.5,2332284.5
2025-08,1017140.75,1017140.75
2025-09,1497911.5,1497911.5
2025-10,1661222.5,1661222.5
2025-11,3218344.2,3218344.2
2025-12,5124835.5,5124835.5
